"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1690","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1022","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1085","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1057","name为空其他参数正确查询成功","test_cases","2026-01-04","passed","2026-01-04","TestCoupon","test_coupon","",""
"","1815","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1177","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1368","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1749","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1440","name少参其他参数正确查询成功","test_cases","2026-01-04","passed","2026-01-04","TestCoupon","test_coupon","",""
"","1326","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1180","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
"","1457","全部参数正确查询成功","test_cases","2026-01-04","passed","2026-01-04","TestCoupon","test_coupon","",""
"","1045","多参","test_cases","2026-01-04","passed","2026-01-04","TestCoupon","test_coupon","",""
"","1015","title","test_cases","2026-01-04","passed","2026-01-04","TestLogin","test_login","",""
